ID,Hours,Treatment,Censor
1,4,Z_BGnc,1
2,4,Z_BGnc,1
3,4,Z_BGnc,1
4,4,Z_BGnc,1
5,4,Z_BGnc,1
6,4,Z_BGnc,1
7,4,Z_BGnc,1
8,4,Z_BGnc,1
9,4,Z_BGnc,1
10,4,Z_BGnc,1
11,4,Z_BGnc,1
12,4,Z_BGnc,1
13,4,Z_BGnc,1
14,4,Z_BGnc,1
15,4,Z_BGnc,1
16,4,Z_BGnc,1
17,4,Z_BGnc,1
18,8,Z_BGnc,1
19,8,Z_BGnc,1
20,8,Z_BGnc,1
21,8,Z_BGnc,1
22,8,Z_BGnc,1
23,8,Z_BGnc,1
24,8,Z_BGnc,1
25,8,Z_BGnc,1
26,8,Z_BGnc,1
27,8,Z_BGnc,1
28,20,Z_BGnc,1
29,20,Z_BGnc,1
30,20,Z_BGnc,1
31,20,Z_BGnc,1
32,20,Z_BGnc,1
33,20,Z_BGnc,1
34,20,Z_BGnc,1
35,20,Z_BGnc,1
36,20,Z_BGnc,1
37,20,Z_BGnc,1
38,20,Z_BGnc,1
39,20,Z_BGnc,1
40,20,Z_BGnc,1
41,20,Z_BGnc,1
42,20,Z_BGnc,1
43,20,Z_BGnc,1
44,20,Z_BGnc,1
45,20,Z_BGnc,1
46,20,Z_BGnc,1
47,20,Z_BGnc,1
48,20,Z_BGnc,1
49,20,Z_BGnc,1
50,48,Z_BGnc,1
51,72,M_BGnc,1
52,72,M_BGnc,1
53,72,M_BGnc,1
54,72,M_BGnc,1
55,72,M_BGnc,1
56,72,M_BGnc,1
57,72,M_BGnc,1
58,72,M_BGnc,1
59,72,M_BGnc,1
60,72,M_BGnc,1
61,72,M_BGnc,1
62,72,M_BGnc,1
63,72,M_BGnc,1
64,72,M_BGnc,1
65,72,M_BGnc,1
66,72,M_BGnc,1
67,72,M_BGnc,1
68,72,M_BGnc,1
69,72,M_BGnc,1
70,72,M_BGnc,1
71,72,M_BGnc,1
72,72,M_BGnc,1
73,72,M_BGnc,1
74,72,M_BGnc,1
75,72,M_BGnc,1
76,72,M_BGnc,1
77,72,M_BGnc,1
78,72,M_BGnc,1
79,72,M_BGnc,1
80,72,M_BGnc,1
81,72,M_BGnc,1
82,72,M_BGnc,1
83,72,M_BGnc,1
84,72,M_BGnc,1
85,72,M_BGnc,1
86,72,M_BGnc,1
87,72,M_BGnc,1
88,72,M_BGnc,1
89,72,M_BGnc,1
90,72,M_BGnc,1
91,72,M_BGnc,1
92,72,M_BGnc,1
93,72,M_BGnc,1
94,72,M_BGnc,1
95,72,M_BGnc,1
96,72,M_BGnc,1
97,96,M_BGnc,1
98,4,Z_BAnc,1
99,4,Z_BAnc,1
100,4,Z_BAnc,1
101,4,Z_BAnc,1
102,6,Z_BAnc,1
103,6,Z_BAnc,1
104,6,Z_BAnc,1
105,6,Z_BAnc,1
106,6,Z_BAnc,1
107,6,Z_BAnc,1
108,6,Z_BAnc,1
109,6,Z_BAnc,1
110,6,Z_BAnc,1
111,6,Z_BAnc,1
112,6,Z_BAnc,1
113,8,Z_BAnc,1
114,8,Z_BAnc,1
115,8,Z_BAnc,1
116,8,Z_BAnc,1
117,8,Z_BAnc,1
118,8,Z_BAnc,1
119,8,Z_BAnc,1
120,8,Z_BAnc,1
121,8,Z_BAnc,1
122,20,Z_BAnc,1
123,44,Z_BAnc,1
124,48,Z_BAnc,1
125,48,Z_BAnc,1
126,92,Z_BAnc,1
127,148,Z_BAnc,1
128,44,M_BAnc,1
129,44,M_BAnc,1
130,48,M_BAnc,1
131,52,M_BAnc,1
132,52,M_BAnc,1
133,68,M_BAnc,1
134,68,M_BAnc,1
135,68,M_BAnc,1
136,68,M_BAnc,1
137,68,M_BAnc,1
138,68,M_BAnc,1
139,68,M_BAnc,1
140,68,M_BAnc,1
141,68,M_BAnc,1
142,68,M_BAnc,1
143,72,M_BAnc,1
144,76,M_BAnc,1
145,92,M_BAnc,1
146,96,M_BAnc,1
147,96,M_BAnc,1
148,100,M_BAnc,1
149,116,M_BAnc,1
150,124,M_BAnc,1
151,44,C_BAn2c,1
152,76,C_BAn2c,1
153,96,C_BAn2c,1
154,120,C_BAn2c,1
155,120,C_BAn2c,1
156,168,C_BAn2c,0
157,168,C_BAn2c,0
158,168,C_BAn2c,0
159,168,C_BAn2c,0
160,168,C_BAn2c,0
161,168,C_BAn2c,0
162,168,C_BAn2c,0
163,168,C_BAn2c,0
164,168,C_BAn2c,0
165,168,C_BAn2c,0
166,168,C_BAn2c,0
167,168,C_BAn2c,0
168,168,C_BAn2c,0
169,168,C_BAn2c,0
170,168,C_BAn2c,0
171,168,C_BAn2c,0
172,168,C_BAn2c,0
173,168,C_BAn2c,0
174,168,C_BAn2c,0
175,168,C_BAn2c,0
176,168,C_BAn2c,0
177,168,C_BAn2c,0
178,168,C_BAn2c,0
179,168,C_BAn2c,0
180,168,C_BAn2c,0
181,96,C_BGnc,0
182,96,C_BGnc,0
183,96,C_BGnc,0
184,96,C_BGnc,0
185,96,C_BGnc,0
186,96,C_BGnc,0
187,96,C_BGnc,0
188,96,C_BGnc,0
189,96,C_BGnc,0
190,96,C_BGnc,0
191,96,C_BGnc,0
192,96,C_BGnc,0
193,96,C_BGnc,0
194,96,C_BGnc,0
195,96,C_BGnc,0
196,96,C_BGnc,0
197,96,C_BGnc,0
198,96,C_BGnc,0
199,96,C_BGnc,0
200,96,C_BGnc,0
201,96,C_BGnc,0
202,96,C_BGnc,0
203,96,C_BGnc,0
204,96,C_BGnc,0
205,96,C_BGnc,0
206,96,C_BGnc,0
207,96,C_BGnc,0
208,96,C_BGnc,0
209,96,C_BGnc,0
210,96,C_BGnc,0
211,96,C_BGnc,0
212,96,C_BGnc,0
213,96,C_BGnc,0
214,96,C_BGnc,0
215,96,C_BGnc,0
216,96,C_BGnc,0
217,96,C_BGnc,0
218,96,C_BGnc,0
219,96,C_BGnc,0
220,96,C_BGnc,0
221,96,C_BGnc,0
222,96,C_BGnc,0
223,96,C_BGnc,0
224,96,C_BGnc,0
225,96,C_BGnc,0
226,96,C_BGnc,0
227,96,C_BGnc,0
228,96,C_BGnc,0
229,96,C_BGnc,0
230,96,C_BGnc,0